IP,Categories,References,ReportDate,Comment
119.8.162.229,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:29:15.689491+00:00,"Related with IP detected by heuristics (Discovered IP: 119.8.162.229, Discovered URL: http://119.8.162.229, Verdict: Malware, HTTP Status: 404), Zeroday: No"
120.26.95.120,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:01:07.017503+00:00,"Related with IP detected by heuristics (Discovered IP: 120.26.95.120, Discovered URL: http://120.26.95.120, Verdict: Malware, HTTP Status: 404), Zeroday: No"
120.27.160.210,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:22:56.654748+00:00,"Related with IP detected by heuristics (Discovered IP: 120.27.160.210, Discovered URL: http://120.27.160.210, Verdict: Malware, HTTP Status: 500), Zeroday: No"
120.55.127.129,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:29:35.093338+00:00,"Related with IP detected by heuristics (Discovered IP: 120.55.127.129, Discovered URL: http://120.55.127.129, Verdict: Malware, HTTP Status: 502), Zeroday: No"
120.77.11.177,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:34:33.394174+00:00,"Related with IP detected by heuristics (Discovered IP: 120.77.11.177, Discovered URL: http://120.77.11.177, Verdict: Malware, HTTP Status: 503), Zeroday: No"
120.79.134.0,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:27:11.340191+00:00,"Related with IP detected by heuristics (Discovered IP: 120.79.134.0, Discovered URL: http://120.79.134.0, Verdict: Malware, HTTP Status: 400), Zeroday: No"
120.79.209.249,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:20:25.713278+00:00,"Related with IP detected by heuristics (Discovered IP: 120.79.209.249, Discovered URL: http://120.79.209.249, Verdict: Malware, HTTP Status: 404), Zeroday: No"
121.40.79.180,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:55:29.620027+00:00,"Related with IP detected by heuristics (Discovered IP: 121.40.79.180, Discovered URL: http://121.40.79.180, Verdict: Malware, HTTP Status: 500), Zeroday: No"
121.42.150.233,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T20:17:32.562292+00:00,"Related with IP detected by heuristics (Discovered IP: 121.42.150.233, Discovered URL: http://121.42.150.233, Verdict: Malware, HTTP Status: 400), Zeroday: No"
121.43.234.94,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:06:24.545499+00:00,"Related with IP detected by heuristics (Discovered IP: 121.43.234.94, Discovered URL: http://121.43.234.94, Verdict: Malware, HTTP Status: 404), Zeroday: No"
123.108.246.28,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:14:05.389931+00:00,"Related with IP detected by heuristics (Discovered IP: 123.108.246.28, Discovered URL: http://123.108.246.28, Verdict: Spam, HTTP Status: 404), Zeroday: No"
123.30.136.196,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:36:33.374327+00:00,"Related with IP detected by heuristics (Discovered IP: 123.30.136.196, Discovered URL: http://123.30.136.196, Verdict: Malware, HTTP Status: 404), Zeroday: No"
123.58.248.231,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:23:44.799211+00:00,"Related with IP detected by heuristics (Discovered IP: 123.58.248.231, Discovered URL: http://123.58.248.231, Verdict: Malware, HTTP Status: 404), Zeroday: No"
124.223.224.185,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:13:07.310502+00:00,"Related with IP detected by heuristics (Discovered IP: 124.223.224.185, Discovered URL: http://124.223.224.185, Verdict: Malware, HTTP Status: 404), Zeroday: No"
125.139.40.134,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:23:23.743741+00:00,"Related with IP detected by heuristics (Discovered IP: 125.139.40.134, Discovered URL: http://125.139.40.134, Verdict: Malware, HTTP Status: 503), Zeroday: No"
125.56.218.76,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:57:35.317228+00:00,"Related with IP detected by heuristics (Discovered IP: 125.56.218.76, Discovered URL: http://125.56.218.76, Verdict: Malware, HTTP Status: 400), Zeroday: No"
128.199.139.15,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:50:06.798357+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.139.15, Discovered URL: http://128.199.139.15, Verdict: Malware, HTTP Status: 404), Zeroday: No"
128.199.2.223,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:27:40.565899+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.2.223, Discovered URL: http://128.199.2.223, Verdict: Malware, HTTP Status: 404), Zeroday: No"
128.199.249.136,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T20:14:41.476548+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.249.136, Discovered URL: http://128.199.249.136, Verdict: Malware, HTTP Status: 404), Zeroday: No"
128.199.254.93,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:33:56.893897+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.254.93, Discovered URL: http://128.199.254.93, Verdict: Malware, HTTP Status: 404), Zeroday: No"
128.199.82.11,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:51:42.898361+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.82.11, Discovered URL: http://128.199.82.11, Verdict: Malware, HTTP Status: 404), Zeroday: No"
129.154.197.193,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-09-20T19:47:11.804158+00:00,"Related with IP detected by heuristics (Discovered IP: 129.154.197.193, Discovered URL: http://129.154.197.193, Verdict: Malware, HTTP Status: 404), Zeroday: No"
13.107.42.23,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:36:10.914969+00:00,"Related with IP detected by heuristics (Discovered IP: 13.107.42.23, Discovered URL: http://13.107.42.23, Verdict: Malware, HTTP Status: 400), Zeroday: No"
13.127.249.48,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:38:04.828913+00:00,"Related with IP detected by heuristics (Discovered IP: 13.127.249.48, Discovered URL: http://13.127.249.48, Verdict: Malware, HTTP Status: 404), Zeroday: No"
13.52.79.159,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:33:29.864230+00:00,"Related with IP detected by heuristics (Discovered IP: 13.52.79.159, Discovered URL: http://13.52.79.159, Verdict: Malware, HTTP Status: 503), Zeroday: No"
13.69.122.227,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:28:28.881527+00:00,"Related with IP detected by heuristics (Discovered IP: 13.69.122.227, Discovered URL: http://13.69.122.227, Verdict: Malware, HTTP Status: 404), Zeroday: No"
132.255.132.43,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:50:12.994312+00:00,"Related with IP detected by heuristics (Discovered IP: 132.255.132.43, Discovered URL: http://132.255.132.43, Verdict: Malware, HTTP Status: 400), Zeroday: No"
133.242.130.188,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:24:18.320732+00:00,"Related with IP detected by heuristics (Discovered IP: 133.242.130.188, Discovered URL: http://133.242.130.188, Verdict: Malware, HTTP Status: 404), Zeroday: No"
134.122.1.181,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-09-20T19:58:34.517370+00:00,"Related with IP detected by heuristics (Discovered IP: 134.122.1.181, Discovered URL: http://134.122.1.181, Verdict: Malware, HTTP Status: 404), Zeroday: No"
