IP,Categories,References,ReportDate,Comment
124.195.176.189,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:05:35.660160+00:00,"Related with IP detected by heuristics (Discovered IP: 124.195.176.189, Discovered URL: http://124.195.176.189, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
124.5.246.105,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:41:51.582542+00:00,"Related with IP detected by heuristics (Discovered IP: 124.5.246.105, Discovered URL: http://124.5.246.105, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
125.130.132.187,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:33:22.428435+00:00,"Related with IP detected by heuristics (Discovered IP: 125.130.132.187, Discovered URL: http://125.130.132.187, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
126.249.167.161,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:48:28.316954+00:00,"Related with IP detected by heuristics (Discovered IP: 126.249.167.161, Discovered URL: http://126.249.167.161, Verdict: Whitelist, HTTP Status: Error: SSLError), Zeroday: No"
128.199.169.223,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:53:27.736534+00:00,"Related with IP detected by heuristics (Discovered IP: 128.199.169.223, Discovered URL: http://128.199.169.223, Verdict: Whitelist, HTTP Status: Error: ConnectionError), Zeroday: No"
128.65.50.195,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:41:07.773298+00:00,"Related with IP detected by heuristics (Discovered IP: 128.65.50.195, Discovered URL: http://128.65.50.195, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
129.205.131.182,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:08:34.641762+00:00,"Related with IP detected by heuristics (Discovered IP: 129.205.131.182, Discovered URL: http://129.205.131.182, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
132.145.96.161,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:37:55.196623+00:00,"Related with IP detected by heuristics (Discovered IP: 132.145.96.161, Discovered URL: http://132.145.96.161, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
134.195.185.52,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:06:46.786473+00:00,"Related with IP detected by heuristics (Discovered IP: 134.195.185.52, Discovered URL: http://134.195.185.52, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
137.74.230.149,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:59:10.210295+00:00,"Related with IP detected by heuristics (Discovered IP: 137.74.230.149, Discovered URL: http://137.74.230.149, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
138.197.167.157,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T11:17:14.071552+00:00,"Related with IP detected by heuristics (Discovered IP: 138.197.167.157, Discovered URL: http://138.197.167.157, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
138.199.16.214,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:35:24.856977+00:00,"Related with IP detected by heuristics (Discovered IP: 138.199.16.214, Discovered URL: http://138.199.16.214, Verdict: Whitelist, HTTP Status: Error: ConnectionError), Zeroday: No"
138.199.21.81,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:35:29.609056+00:00,"Related with IP detected by heuristics (Discovered IP: 138.199.21.81, Discovered URL: http://138.199.21.81, Verdict: Whitelist, HTTP Status: Error: ConnectionError), Zeroday: No"
138.68.74.59,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:42:12.025786+00:00,"Related with IP detected by heuristics (Discovered IP: 138.68.74.59, Discovered URL: http://138.68.74.59, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
139.162.117.149,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:45:21.109822+00:00,"Related with IP detected by heuristics (Discovered IP: 139.162.117.149, Discovered URL: http://139.162.117.149, Verdict: Whitelist, HTTP Status: Error: ConnectTimeout), Zeroday: No"
139.28.68.215,"Whitelist","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(WhiteList)",2025-10-02T10:35:16.326034+00:00,"Related with IP detected by heuristics (Discovered IP: 139.28.68.215, Discovered URL: http://139.28.68.215, Verdict: Whitelist, HTTP Status: Error: ConnectionError), Zeroday: No"
