IP,Categories,References,ReportDate,Comment
103.181.142.106,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:04:25.876566+00:00,"Related with IP detected by heuristics (Discovered IP: 103.181.142.106, Discovered URL: http://103.181.142.106, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.189.197.6,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:46:32.134450+00:00,"Related with IP detected by heuristics (Discovered IP: 103.189.197.6, Discovered URL: http://103.189.197.6, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.19.128.2,"BruteForce","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:50:38.925263+00:00,"Related with IP detected by heuristics (Discovered IP: 103.19.128.2, Discovered URL: http://103.19.128.2, Verdict: BruteForce, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.191.92.38,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:40:29.618291+00:00,"Related with IP detected by heuristics (Discovered IP: 103.191.92.38, Discovered URL: http://103.191.92.38, Verdict: Malware, HTTP Status: 101), Zeroday: No"
103.192.204.19,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:39:51.702554+00:00,"Related with IP detected by heuristics (Discovered IP: 103.192.204.19, Discovered URL: http://103.192.204.19, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.194.88.73,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:25:07.688382+00:00,"Related with IP detected by heuristics (Discovered IP: 103.194.88.73, Discovered URL: http://103.194.88.73, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.203.172.130,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:05:49.903044+00:00,"Related with IP detected by heuristics (Discovered IP: 103.203.172.130, Discovered URL: http://103.203.172.130, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.209.255.115,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:37:54.189880+00:00,"Related with IP detected by heuristics (Discovered IP: 103.209.255.115, Discovered URL: http://103.209.255.115, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.21.59.170,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:43:40.318617+00:00,"Related with IP detected by heuristics (Discovered IP: 103.21.59.170, Discovered URL: http://103.21.59.170, Verdict: Malware, HTTP Status: 406), Zeroday: No"
103.211.217.213,"Malware","HydraDragonAntivirusSearchEngine|github.com/T145/black-mirror(Malware)",2025-10-04T04:40:04.564782+00:00,"Related with IP detected by heuristics (Discovered IP: 103.211.217.213, Discovered URL: http://103.211.217.213, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.215.220.83,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:52:37.949879+00:00,"Related with IP detected by heuristics (Discovered IP: 103.215.220.83, Discovered URL: http://103.215.220.83, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.215.81.107,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:40:29.956461+00:00,"Related with IP detected by heuristics (Discovered IP: 103.215.81.107, Discovered URL: http://103.215.81.107, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.218.24.202,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:37:42.175231+00:00,"Related with IP detected by heuristics (Discovered IP: 103.218.24.202, Discovered URL: http://103.218.24.202, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.220.16.80,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:55:17.417837+00:00,"Related with IP detected by heuristics (Discovered IP: 103.220.16.80, Discovered URL: http://103.220.16.80, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.221.221.51,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:47:05.694647+00:00,"Related with IP detected by heuristics (Discovered IP: 103.221.221.51, Discovered URL: http://103.221.221.51, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.225.222.178,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:44:18.543154+00:00,"Related with IP detected by heuristics (Discovered IP: 103.225.222.178, Discovered URL: http://103.225.222.178, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.227.62.62,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:53:56.808022+00:00,"Related with IP detected by heuristics (Discovered IP: 103.227.62.62, Discovered URL: http://103.227.62.62, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.238.129.72,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:52:41.108205+00:00,"Related with IP detected by heuristics (Discovered IP: 103.238.129.72, Discovered URL: http://103.238.129.72, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.239.52.152,"Spam","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T04:45:01.340765+00:00,"Related with IP detected by heuristics (Discovered IP: 103.239.52.152, Discovered URL: http://103.239.52.152, Verdict: Spam, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
103.240.98.244,"Malware","HydraDragonAntivirusSearchEngine|Unknown",2025-10-04T05:18:38.200905+00:00,"Related with IP detected by heuristics (Discovered IP: 103.240.98.244, Discovered URL: http://103.240.98.244, Verdict: Malware, HTTP Status: 200), HTML similarity: 0.00%, Zeroday: No"
